,smiles
156,C=1(OC=2C3=C(C=CC=C3)C=CC2C(C1)=O)N4CCOCC4
157,ClC1=CC=C(C(=O)NC=2C=C3NN=CC3=CC2)C=C1
158,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O
159,C=1N=C(CC2C(/C(/CN=C2)=C/C=3C=CC=CN3)=O)C=CC1
160,ClC1=C(OC)C=C2N=C(NCC)C(=NC2=C1)NCC
161,ClC1=CC=C(C(=O)NC2=CC=3C(=NNC3)C=C2)C=C1
162,C1=CC=C(C=C1)NC2=NC(=NC=C2F)NC3=CC=CC=C3
163,O=C1C(=NC=2C=CN=CC2)C(NCC3=CC=C(C=C3)C)C1=O
164,ClC=1C=C2C3=C(C(OC2=CC1)=N)C(O)=NC(O)=C3C#N
166,OCCNC1=NC=C2C(C=C(C3=CN=CC=C3)C=C2)=C1
168,N1C(C=2C=CC(=CC2)OC)=NC(=C1C=3C=CN=CC3)CC
169,NCC(C=1C=CC(=CC1)C2=CNN=C2)C3=CC=CC=C3
170,FC1=C2N=CC=C(NC(=O)NC=3N=CC=NC3)C2=CC=C1
171,C12=C(C=3C=C(Br)C=CC3N1)CC(=O)NC=4C2=NC=CC4
173,ClC1=CC=C(CNC2C(=NC=3C=CN=CC3)C(=O)C2=O)C=C1
174,S1C=2N=C(O)N3N=C(N=C3C2C=C1)C=4C=CN=CC4
175,OC(C1=CC=C(C=2NC3=NC=CN=C3C2CC)C=C1)(C)C
176,S1C2=C(C(OC=3C=C(F)C=CC3)=CN=C2)C=C1C(=O)N
178,O=N(=O)C1=CC=2NC(=NC2C=C1)NC3=NC=C(C=C3)C
179,ClC=1C(OCC=2SC(=C(N2)C)C3=NC(=NC=C3)N)=CC=CC1
180,C1(=CN=C2C(=C1)C(NC(CCC)=O)=NN2)C=3C=CC=NC3
181,S1N=CC=2C1=CC(N(C)C)=C(NC(=O)C(=O)O)C2
182,S1C2=C(C(C3=C(F)C=C(F)C=C3)=CN=C2)C=C1C(=O)N
183,O(C1=NC(N2CCOCC2)=CC(=N1)NN)CCC3=NC=CC=C3
184,S1C=2N(C(=C(N2)C3=CC=C(F)C=C3)C=4C=CN=CC4)C=C1
185,S1C=C(C2=CC3=C(C=C2)C=NC(NCCO)=C3)C=C1
186,OCC(NC1=NC=NC=2NC=C(C21)C=3C=CC=CC3)CO
187,OCCNC=1N=CC2=C(C=C(C3=CC=CC=C3)C=C2)C1
188,C=1(C=C2C(=CC1)N(C3=C(C(=NN3C)C(F)(F)F)C2=O)O)Cl
189,ClC1=CC(CNC2C(=NC=3C=CN=CC3)C(=O)C2=O)=CC=C1Cl
190,O(C1=NNC(O)=C1C=C2C=3C(N=C2)=CC=CC3)C(C)C
191,O=C1NC2=C(C1=CC=3NC=NC3)C=C(OC)C=C2
192,FC=1C=C(C(=O)NC2=CC=3C(=NNC3)C=C2)C=CC1
193,C=1(NC2=CC=CC=C2N1)NN=CC3=CNC4=C3C=CC=C4
194,S1C(C(=O)NC1=NC2=CC=CC=C2)=CC3=CC(OC)=CC=C3
195,S1C=2N3C(N4C(=NN=C4S)C2C5=C1CCC5)=NN=C3S
197,S1C2=C(C(C3=CC(F)=CC=C3)=CN=C2)C=C1C(=O)O
198,FC=1C(C2=CC=3C(=NNC3NC(=O)CCC)C=C2)=CC=CC1F
199,O(C=1C=C(C=NC1)CCC2=CC=CC=C2)CC3N(CCC3)C
200,S1(=O)N=C(NC=2C=CC(F)=CC2)C(=N1)NCCCC
201,OCCCNC1=NC=NC=2NC=C(C21)C=3C=CC=CC3
202,S1C=C(C=2N=C(NC(=O)C)C=C(N)C2C#N)C=C1
204,C1(C2=CC(=NO2)CN3CCCCC3)=CC=C4C(=C1)C=NN4
205,O(C1=CC(C=2C=C3C(NN=C3C)=CC2)=CN=C1)CCN
206,IC=1N(N=NC1C2=CC=3C(=NNC3N)C=C2)CC4=CC=CC=C4
207,O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2
208,OC=1NC2=C(C1C3=NC=C(C=C3)CN4CCOCC4)C=C(C=C2)C#N
209,FC1=C(C2=NN=C3NN=C(NC(=O)CCC)C3=C2)C=CC=C1F
210,FC=1C(C2C=3C(=NNC3OC(=N)C2C#N)C(C)(C)C)=CC=CC1
211,ClC1=CC=C(COCCNCCNS(=O)(=O)C2=CC=CC=3C=NC=CC23)C=C1
212,BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1
213,ClC=1C(=CC(OC)=C(NC(=O)NC=2N=CC(=NC2)C#N)C1)C
214,N1=CN=C2NC=NC2=C1C3=CC=C(C=C3)C(N)C4=CC=CC=C4
215,NC(C=1C=CC(C=2N=CN=C3N=CNC23)=CC1)C4=CC=CC=C4
216,O=C(N1CCNCC1)C=2C=3N(C(=NC3C=NC2)C4=NON=C4N)CC
217,OC(N1CC(N(C2=NC=NC=3NC=CC23)C)C(CC1)C)C=O
218,O(CC1CCNCC1)C2=C3N(C(=NC3=CN=C2)C4=NON=C4N)CC
219,ClC1=C2SC=3C(N(C2=CN=C1)C(=O)C=4C=CC(OC)=CC4)=CC=CC3
220,O(C=1N=C(C=C(N)C1C#N)C(=O)NCC2=CC=NC=C2)CC
221,S1C=2N=C(O)N3N=C(N=C3C2C4=C1CCCC4)C=5C=CN=CC5
222,OC1CCN(C2=NC=NC=3NC=C(C23)C=4C=CC=CC4)CC1
223,FC(F)(F)C1=CC=2C(=NC=CC2NC(=O)NC=3N=CC=NC3)C=C1
225,C=1(C=2N(CC)C(C3=NON=C3N)=NC2C=NC1)OC4CCNCC4
226,C1(=CC=C2C(=C1)C=NN2)C=3N=C(SC3)NC=4C=CC=CC4
227,FC(F)(F)C1=C2N=CC=C(NC(=O)NC=3N=CC=NC3)C2=CC=C1
