Knock-out Genes,Method Names,Fraggle Scores,The Most Similar Inhibitors,Result Mols
AKT2,Pre-trained hierVAE Generate,0.23,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC1CCCCOC(CN(C)Cc2ccccn2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.52,CC=1C=NC=C2C=CC=C(C12)S(N3CCCN(C[C@H]3C)C(CN)=O)(=O)=O,CC(C)(C)S(=O)N(CC(=O)NCCCN1CCC(Cc2ccccc2)CC1)c1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.59,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1cccnc1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.35,BrC=1C(NC=2C(S(=O)(=O)NC)=CC=CC2)=NC(NC=3C(OC)=CC=C(N4CCN(CC4)C(=O)C)C3)=NC1,CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NS(C)(=O)=O)ccc2OCC1C
AKT2,Pre-trained hierVAE Generate,0.29,BrC=1C(NC=2C(S(=O)(=O)NC)=CC=CC2)=NC(NC=3C(OC)=CC=C(N4CCN(CC4)C(=O)C)C3)=NC1,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.01,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC1CCCCOC(CN(C)CC2CC2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.12,C=1(C=C2/C(/C(NC2=CC1)=O)=C/C=3NC=C(C3)C(NCCN4CCOCC4)=O)NC(N)=O,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)NC1CCCCC1
AKT2,Pre-trained hierVAE Generate,0.44,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.61,CC=1C=NC=C2C=CC=C(C12)S(N3CCCN(C[C@H]3C)C(CN)=O)(=O)=O,CC1CN(C(C)CO)C(=O)c2ccccc2-c2ccccc2COC1CN(C)S(=O)(=O)c1ccc(Cl)cc1
AKT2,Pre-trained hierVAE Generate,0.35,ClC1=CC=C([C@@H](CNC2CCC(OC)CC2)C(=O)N3CCN(CC3)C=4N=CN=C5C4[C@@H](C[C@H]5O)C)C=C1,COC(CN(C)Cc1ccc(F)cc1)C(C)CN(C(=O)Nc1ccc(F)cc1)C(C)CO
AKT2,Pre-trained hierVAE Generate,0.47,C=1(C=C2C(=NC=NC2=CC1OCCCN3CCCCC3)N4CCN(CC4)C(NC=5C=CC(=CC5)OC(C)C)=O)OC,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2
AKT2,Pre-trained hierVAE Generate,0.38,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccccc1CNC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccccc2F)O1
AKT2,Pre-trained hierVAE Generate,0.37,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccc(C(=O)Nc2ccc3c(c2)C(=O)N(C)C2CCC(CC(=O)NCCc4ccccc4)OC2CO3)cc1
AKT2,Pre-trained hierVAE Generate,0.34,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CCNC(=O)CC1CCC2C(COCC(O)CN2Cc2ccc(OC)cc2)O1
AKT2,Pre-trained hierVAE Generate,0.25,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccc(CNC(=O)CC2CC3c4cc(NC(=O)CN5CCOCC5)ccc4OC3C(CO)O2)cc1
AKT2,Pre-trained hierVAE Generate,0.27,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.12,C=1C=C(N=CC1)C=2N=C(C3=CC=C(C=C3)C(N)=O)NC2C4=CC5=C(C=C4)OCCO5,O=C(Nc1cc2c(c(C(F)(F)F)c1)OCCO2)c1ccc(-c2ccc(Cl)cc2)o1
AKT2,Pre-trained hierVAE Generate,0.2,C=1C=CC=C(C1)C2=CC(=NC(=C2)C=3C=C4C(=CC3)OCC(N4)=O)C5=CC6=C(C=C5)OC(N6)=O,CCNC(=O)CC1CC2c3cc(NC(=O)c4cccnc4)ccc3OC2C(CO)O1
AKT2,Pre-trained hierVAE Generate,0.46,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0,O=C(NC(C)(C)C)C1=CC=2N=C3C(NC4=C3C=CC=C4)=NC2C=C1,CC(C)(C)c1ccc(C(=O)Nc2ncnc3ccccc23)c2cccnc12
AKT2,Pre-trained hierVAE Generate,0.32,N=1C=NC(=C2[C@@H](C[C@@H](O)C12)C)N3CCN(C([C@H](CNC4CCOCC4)C5=CC(=C(Cl)C=C5)F)=O)CC3,CC1CN(C(=O)c2ccccc2F)C(C)COc2ccc(NC(=O)CCCC=O)cc2C(=O)N(C)CC1NC(=O)Cc1ccccc1
AKT2,Pre-trained hierVAE Generate,0.5,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1cccc(C(F)(F)F)c1
AKT2,Pre-trained hierVAE Generate,0.26,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.17,O=C1N(N(C2=NC(=NC=C2N1C)NC3=C(OC)C=C(C=C3)C(=O)NC4CCN(CC4)C)C5CCCC5)CC,COc1ccc(NC(=O)N(C)CC2OCc3cn(nn3)CCCC(=O)N(C(C)CO)CC2C)c(OC)c1
AKT2,Pre-trained hierVAE Generate,0.35,C1=CC=C2C(C3=C4N2[C@]5(O[C@H](C[C@H]([C@H]5OC)N(C)C(=O)CCC(NCCC(NCCC(NCCC(N)=O)=O)=O)=O)N6C4=C(C7=C6C=CC=C7)C=8C3=CNC8O)C)=C1,CC(C)C1CCN(CCc2ccc(O)c(O)c2)C1C(=O)NCc1ccc(C(=O)NCCC(=O)O)cc1
AKT2,Pre-trained hierVAE Generate,0.44,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,COc1ccc2c(c1)c1c(n2C)C2(CO)CC(C(=O)NCCCN(C)C)C(C1)N2Cc1ccc(F)cc1
AKT2,Pre-trained hierVAE Generate,0.02,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccccc1CNC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccccc2F)O1
AKT2,Pre-trained hierVAE Generate,0.03,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.41,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CCCCOC(CN(C)Cc2cccc(C(F)(F)F)c2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.47,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)CCC(F)(F)F
AKT2,Pre-trained hierVAE Generate,0.39,S(=O)(=O)(NCCN)C=1C=C(C(=O)NC2=CC=C(C3=NN=C(O)C4=C3C=CC=C4)C=C2)C=CC1,NC(=O)CCC(O)C=Cc1ccc(S(N)(=O)=O)cc1
AKT2,Pre-trained hierVAE Generate,0.23,C1(=CC=C2C(=C1)C(=C(N2)O)C=C3CC(=C(C3=C)C(N4CCN(CC4)C)=O)C)S(=O)(N(C)C5=CC(=CC=C5)Cl)=O,Cc1ccc(S(=O)(=O)N(C)CC2OCCCCC(C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C(=O)N(C(C)CO)CC2C)cc1
AKT2,Pre-trained hierVAE Generate,0.37,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CCNC(=O)CC1CCC(NC(=O)c2ccc3c(c2)OCO3)C(CO)O1
AKT2,Pre-trained hierVAE Generate,0.38,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,Cc1ccc(NC(=O)N2C(CO)C(C(=O)NCCC(=O)NC(C(=O)Nc3cccc(C(=O)O)c3)C(C)(C)C)C3Cn4c(ccc(-c5cncnc5)c4=O)C32)cc1
AKT2,Pre-trained hierVAE Generate,0.3,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C(C)CO)CC1C
AKT2,Pre-trained hierVAE Generate,0.63,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1cccnc1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.02,O=C(NC1=CN=CC=C1)NCCCCCCNC(=O)NC2=CN=CC=C2,CCCCCCCCCNC(=O)c1ccc(NC(C)=O)cc1
AKT2,Pre-trained hierVAE Generate,0.34,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccccc1C(=O)Nc1ccc2c(c1)C(=O)N(C)C1CCC(CC(=O)NCCCN3CCOCC3)OC1CO2
AKT2,Pre-trained hierVAE Generate,0.27,COC=1C=C2C(=NC=NC2=CC1OCCCN3CCCC3)OC=4C=CC=5NC(C)=CC5C4F,COc1ccc2c3c(n(C)c2c1)C(CO)N(Cc1ccc(F)cc1)CC31CCN(C(=O)C2CC2)CC1
AKT2,Pre-trained hierVAE Generate,0.32,C1(NC(N)=O)=CC=C2NC(/C(/C2=C1)=C(/C)\C=3NC=C(C3)CNC(=O)CO)=O,CC(C)NC(=O)Nc1ccc2c(c1)C1CC(CC(=O)NCc3ccc4c(c3)OCO4)OC(CO)C1O2
AKT2,Pre-trained hierVAE Generate,0.48,C=1C=C(C=CC1C[C@@H](N)C(N2CCN(CC2)C=3C4=C(N=CN3)C=CC=C4)=O)C,CN(C)c1ccc(C(=O)NCCCN2CCC(Cc3ccccc3)CC2)c2cccnc12
AKT2,Pre-trained hierVAE Generate,0.43,C1(=CC=C2C(=C1)C(=C(N2)O)C=C3CC(=C(C3=C)C(N4CCN(CC4)C)=O)C)S(=O)(N(C)C5=CC(=CC=C5)Cl)=O,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.37,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCN(C)C)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.24,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)CCC(F)(F)F)cc2C(=O)N(C(C)CO)CC1C
AKT2,Pre-trained hierVAE Generate,0.36,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC1CCCCOC(CN(C)Cc2ccncc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.31,ClC1=C(OCC)N=C(C(=O)NCC=2C(S(=O)(=O)N)=CC=CC2)C=C1N,CCNC(=O)CC1CC2c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3OC2C(CO)O1
AKT2,Pre-trained hierVAE Generate,0.31,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.49,CC=1C=NC=C2C=CC=C(C12)S(N3CCCN(C[C@H]3C)C(CN)=O)(=O)=O,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#CCN(C)C)cc2OC1CN(C)Cc1ccc(C(=O)O)cc1
AKT2,Pre-trained hierVAE Generate,0.32,BrC=1C(NC=2C(S(=O)(=O)NC)=CC=CC2)=NC(NC=3C(OC)=CC=C(N4CCN(CC4)C(=O)C)C3)=NC1,CC1CCCCOC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3ccccc3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.36,N=1C=NC(=C2[C@@H](C[C@@H](O)C12)C)N3CCN(C([C@H](CNC4CCOCC4)C5=CC(=C(Cl)C=C5)F)=O)CC3,CCCNC(=O)C1C(CO)C2Cn3c(ccc(-c4cccc(F)c4)c3=O)C2N1C(=O)c1ccc(F)cc1
AKT2,Pre-trained hierVAE Generate,0.36,C=1(C=C2C(=NC=NC2=CC1OCCCN3CCCCC3)N4CCN(CC4)C(NC=5C=CC(=CC5)OC(C)C)=O)OC,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2
AKT2,Pre-trained hierVAE Generate,0.16,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CNCC1Oc2c(NC(=O)CCN3CCOCC3)cccc2C(=O)N(C(C)CO)CC1C
AKT2,Pre-trained hierVAE Generate,0.29,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.34,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,Cc1ccc(NC(=O)N2C(CO)C(C(=O)NCCC(=O)NC(C(=O)Nc3cccc(C(=O)O)c3)C(C)(C)C)C3Cn4c(ccc(-c5cncnc5)c4=O)C32)cc1
AKT2,Pre-trained hierVAE Generate,0.38,BrC=1C(NC=2C(S(=O)(=O)NC)=CC=CC2)=NC(NC=3C(OC)=CC=C(N4CCN(CC4)C(=O)C)C3)=NC1,CCCN1CC(C)C(OC)CN(C)C(=O)c2cc(NS(=O)(=O)c3ccc(C)cc3)ccc2OCC1C
AKT2,Pre-trained hierVAE Generate,0.18,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.26,ClC1=CC=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNCC5CCOCC5)C=C1,CCCNC(=O)CC1CCC2C(COCC(O)CN2C(=O)Nc2ccc(F)cc2)O1
AKT2,Pre-trained hierVAE Generate,0.37,C=1C(=C(C=CC1C[C@@H](N)C(N2CCN(CC2)C=3C4=C(N=CN3)C=CC=C4)=O)Cl)Cl,O=C(CCCCC(=O)N1CCN(Cc2ccc(Cl)cc2)CC1)Nc1ccc(Cl)c(Cl)c1
AKT2,Pre-trained hierVAE Generate,0.19,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)Cc1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.47,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(NC(=O)Cc1ccccc1)C(C)CN(C(=O)c1ccccc1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.36,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccncc1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0.17,C1=C(C=CC(=C1)C(NC(=O)C2(N)CCN(CC2)C3=NC=NC4=C3C=CN4)CCCN5CCOCC5)Cl,CC(C)(C)c1ccc(CNc2nc(-c3cccc(F)c3)nc3ccc(C(=O)NCCCN4CCOCC4)cc23)cc1
AKT2,Pre-trained hierVAE Generate,0.53,O=C1N(C=2C(N(C1CC)C3CCCC3)=NC(=NC2)NC4=C(OC)C=C(C=C4)C(=O)NC5CCN(CC5)C)C,CCCCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccccn1)C(C)CO2
AKT2,Pre-trained hierVAE Generate,0,C1CCOC=2N=C(C=NC2C#N)NC(NC=3C=C(C(=CC3OCC1)OCC(CO)O)Cl)=O,CC(NC(=O)CC1CCC(NC(=O)Nc2ccc(Cl)cc2)C(CO)O1)c1ccccc1
AKT2,Pre-trained hierVAE Generate,0.34,C1(CCN(C=2C=CN=C3NN=CC23)CC1)(CC4=CC=C(C=C4)C(C)(C)C)N,CC(C)(C)c1ccc(CNc2ncnc3cnc(NCCCn4cnnn4)nc23)cc1
AKT2,Pre-trained hierVAE Generate,0.53,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1
AKT2,Pre-trained hierVAE Generate,0.34,C1=CC=C2C(C3=C4N2[C@]5(O[C@H](C[C@H]([C@H]5OC)N(C)C(=O)CCC(NCCC(NCCC(NCCC(N)=O)=O)=O)=O)N6C4=C(C7=C6C=CC=C7)C=8C3=CNC8O)C)=C1,CN1CCN(C(=O)C23CC(CO)C(N2)c2ccc(-c4ccc(C(=O)N(C)C)cc4)c(=O)n2C3)CC1
AKT2,Pre-trained hierVAE Generate,0.21,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CCCCOC(CN(C)Cc2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.36,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CN(C)C(=O)CC1CCC(NC(=O)Nc2ccccc2)C(CO)O1
AKT2,Pre-trained hierVAE Generate,0.08,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccc(CNC(=O)CC2CCC3C(COc4ccc(NC(=O)c5ccc(F)cc5)cc4C(=O)N3C)O2)cc1
AKT2,Pre-trained hierVAE Generate,0.41,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccc(CN(C)CC2Oc3ccc(NC(=O)Cc4ccccc4)cc3C(C)CCC(=O)N(C(C)CO)CC2C)cc1
AKT2,Pre-trained hierVAE Generate,0.31,O1C(=NC=2C1=CC=CC2)NC3=CC=C(C=4C=5C(=C(O)NC5)C=C(OCCCN(C)C)C4)C=C3,COC1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OCC(C)N(Cc2ccc(-c3ccccn3)cc2)CC1C
AKT2,Pre-trained hierVAE Generate,0.52,O=C(NC(CC1=CC=CC=C1)CO)C2=CC=C(C=3C=CN=CC3)C=C2,CC(C)(C)C(NC(=O)CCc1ccc(-c2ccccc2-c2cccnc2)cc1)C(=O)O
AKT2,Pre-trained hierVAE Generate,0.62,CC=1C=NC=C2C=CC=C(C12)S(N3CCCN(C[C@H]3C)C(CN)=O)(=O)=O,COc1cccc(C#Cc2ccc3c(c2)OC(CN(C)C(=O)CCC(F)(F)F)C(C)CN(C(C)CO)S3(=O)=O)c1
AKT2,Pre-trained hierVAE Generate,0.25,C1(=CC=C2C(=C1)C(=C(N2)O)C=C3CC(=C(C3=C)C(N4CCN(CC4)C)=O)C)S(=O)(N(C)C5=CC(=CC=C5)Cl)=O,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C=Cc3ccccc3)cc2OC1CN(C)S(=O)(=O)c1ccc(C(F)(F)F)cc1
AKT2,Pre-trained hierVAE Generate,0.38,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(=CC4)CC#N)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,CC1CCCCOC(CN(C)Cc2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.3,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3cccnc3)ccc2O1
AKT2,Pre-trained hierVAE Generate,0.31,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1
AKT2,Ours,1,S1C(C(=O)NC1=O)=CC=2C=C(OC)C(O)=CC2,COc1ccc(C=C2SC(=O)NC2=O)cc1OC
AKT2,Ours,0.81,S1C(C(=O)NC1=O)=CC=2C=C(OC)C(O)=CC2,Cc1cccc(C=C2SC(=O)NC2=O)c1
AKT2,Ours,0.62,O(C=1C=C(C=NC1)CCC2=CC=NC=C2)CC3N(CC3)C,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)Cc1ccncc1
AKT2,Ours,0.47,C=1(N=CN=C2[C@@H](C[C@H](C21)C)O)N3CCN(C(=O)[C@H](CN(C(C)C)C)C=4C=CC(=CC4)Cl)CC3,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)C(=O)Nc1ccc(F)cc1
AKT2,Ours,0.86,O1CCC(CN2N=NC(C=3C=C4C(NN=C4)=CC3)=C2)CC1,Cc1ccc(-c2ccc(-c3cn(CCCN4CCOCC4)nn3)cc2)cc1
AKT2,Ours,0.49,C1(=CC=C2NC(/C(/C2=C1)=C\C=3NC=C(C3)C(NCCN(C)C)=O)=O)NC(N)=O,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)CCC(F)(F)F)O2
AKT2,Ours,0.68,C1(=CC=C2N=CN=C(C2=C1)NCCC3=CC=C(C=C3)OC4=CC=CC=C4)N,COc1ccc2ncnc(NCc3ccc(F)cc3)c2c1
AKT2,Ours,0.78,O=C(NCC1=CC=CC=C1)C2=CC=C(C=3C=CN=CC3)C=C2,Cc1ccc(CNC(=O)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)cc1
AKT2,Ours,0.62,FC1=C(C2=CC(OC)=C(C(=O)NC(C3=CC(OC)=CC=C3)C)C=C2)C=CN=C1,COc1ccc(CN(Cc2ccccn2)C(=O)c2ccc(Cl)cc2)c(OC)c1
