,Knock-out Genes,Modal Similarity,The Most Similar Inhibitors,Metric,Scores,Searched Mols
0,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
2,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
3,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
4,AKT1,0.80,N1(CCN(CC=2C=C3C(C4=C(C(=NN4)C5=CSC(=C5)C#CCOCCOC)C3=O)=CC2)CC1)C,Fraggle,0.46,COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5OC
5,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
6,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
7,AKT1,0.85,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.51,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O
8,AKT1,0.84,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.44,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
9,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
10,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
11,AKT1,0.90,C12(CN(C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,Fraggle,0.44,CCS(=O)(=O)Nc1ccc2OC[C@@H]3O[C@@H](CC(=O)N4CCN(C)CC4)CC[C@@H]3N(C)C(=O)c2c1
12,AKT1,0.84,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.44,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
13,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
14,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
15,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
16,AKT1,0.92,C(=O)(NC=1C=2C(C(=CC1)OCCN3CCOCC3)=CC=CC2)NC4=CC(=NN4C5=CC=C(C=C5)C)C(C)(C)C,Fraggle,0.46,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)n4nc(oc4=O)c5ccccc5
17,AKT1,0.92,C(=O)(NC=1C=2C(C(=CC1)OCCN3CCOCC3)=CC=CC2)NC4=CC(=NN4C5=CC=C(C=C5)C)C(C)(C)C,Fraggle,0.46,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)n4nc(oc4=O)c5ccccc5
18,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
19,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
20,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
21,AKT1,0.87,BrC1=C(N=C2N=CC(=C(O)C2=C1C)C(=O)O)N3CC(NC)CC3,Fraggle,0.49,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
22,AKT1,0.85,O=C1N(C(=O)C2=C3C1=CC=C(NCCCC)C3=CC=C2)CCNCCO,Fraggle,0.00,CCCCC/C=CC/C=CC/C=CC/C=CCCCC(=O)NCC(=O)O
23,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
24,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
25,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
26,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
27,AKT1,0.92,C(=O)(NC=1C=2C(C(=CC1)OCCN3CCOCC3)=CC=CC2)NC4=CC(=NN4C5=CC=C(C=C5)C)C(C)(C)C,Fraggle,0.46,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)n4nc(oc4=O)c5ccccc5
28,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
29,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
30,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
31,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
32,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
33,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
34,AKT1,0.85,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.51,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O
35,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
36,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
37,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
38,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
39,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
40,AKT1,0.84,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.44,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
41,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
42,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
43,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
44,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
45,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
46,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
47,AKT1,0.86,S1C=2C(=C(C3=CC=C(S(=O)(=O)C)C=C3)C=NC2)C=C1C(=O)N,Fraggle,0.36,Cc1noc(C)c1C(c2ccccc2)S(=O)(=O)c3ccc(C)cc3
48,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
49,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
50,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
51,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
52,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
53,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
54,AKT1,0.87,BrC1=C(N=C2N=CC(=C(O)C2=C1C)C(=O)O)N3CC(NC)CC3,Fraggle,0.49,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
55,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
56,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
57,AKT1,0.85,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.51,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O
58,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
59,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
60,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
61,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
62,AKT1,0.82,[N+]=12C(=C3NC=4C=CC=CC4C3=CC1)C(=O)C=5C2=CC=CC5,Fraggle,0.35,OC(c1cnc2ccccn12)(c1ccccc1)c1ccccc1
63,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
64,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
65,AKT1,0.82,[N+]=12C(=C3NC=4C=CC=CC4C3=CC1)C(=O)C=5C2=CC=CC5,Fraggle,0.35,OC(c1cnc2ccccn12)(c1ccccc1)c1ccccc1
66,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
67,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
68,AKT1,0.86,S1C=2C(=C(C3=CC=C(S(=O)(=O)C)C=C3)C=NC2)C=C1C(=O)N,Fraggle,0.36,Cc1noc(C)c1C(c2ccccc2)S(=O)(=O)c3ccc(C)cc3
69,AKT1,0.92,C(=O)(NC=1C=2C(C(=CC1)OCCN3CCOCC3)=CC=CC2)NC4=CC(=NN4C5=CC=C(C=C5)C)C(C)(C)C,Fraggle,0.46,COc1ccc(cc1)C2(CC2)C(=O)N3CCC(CC3)n4nc(oc4=O)c5ccccc5
70,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
71,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
72,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
73,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
74,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
75,AKT1,0.87,BrC1=C(N=C2N=CC(=C(O)C2=C1C)C(=O)O)N3CC(NC)CC3,Fraggle,0.49,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
76,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
77,AKT1,0.86,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,Fraggle,0.43,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2OC[C@@H](C)NC[C@@H]1C
78,AKT1,0.85,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,Fraggle,0.51,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O
79,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
80,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,Fraggle,0.50,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
81,AKT1,0.85,O=C1N(C(=O)C2=C3C1=CC=C(NCCCC)C3=CC=C2)CCNCCO,Fraggle,0.00,CCCCC/C=CC/C=CC/C=CC/C=CCCCC(=O)NCC(=O)O
82,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
83,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
84,AKT1,0.86,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,Fraggle,0.43,CO[C@@H]1CN(C)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2OC[C@@H](C)NC[C@@H]1C
85,AKT1,0.90,C12(CN(C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,Fraggle,0.44,CCS(=O)(=O)Nc1ccc2OC[C@@H]3O[C@@H](CC(=O)N4CCN(C)CC4)CC[C@@H]3N(C)C(=O)c2c1
86,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
87,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
88,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
89,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
90,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
91,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
92,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
93,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,Fraggle,0.40,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
94,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
95,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
96,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,Fraggle,0.62,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
97,AKT1,0.90,C12(CN(C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)CCC1)OC=4C=CC(=CC4C(C2)=O)O,Fraggle,0.44,CCS(=O)(=O)Nc1ccc2OC[C@@H]3O[C@@H](CC(=O)N4CCN(C)CC4)CC[C@@H]3N(C)C(=O)c2c1
98,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
99,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,Fraggle,0.31,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
100,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,MACCS,0.77,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
101,AKT1,0.88,C12(CN(CCC1)C[C@@H](CN(CCOCC)S(C3=C(C=CC=C3C)C)(=O)=O)O)OC=4C=CC(=CC4CC2)C(=O)N,MACCS,0.67,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
102,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,MACCS,0.80,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
103,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,MACCS,0.77,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
104,AKT1,0.80,N1(CCN(CC=2C=C3C(C4=C(C(=NN4)C5=CSC(=C5)C#CCOCCOC)C3=O)=CC2)CC1)C,MACCS,0.66,COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5OC
105,AKT1,0.00,BrC1=CC=2C(=NNC2C=C1)C3=CC=CC=C3,MACCS,0.76,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
106,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,MACCS,0.77,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
107,AKT1,0.85,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,MACCS,0.76,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)C)cc3C1=O
108,AKT1,0.84,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,MACCS,0.77,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
109,AKT1,0.85,C1=C(C2=NN=C(O2)SCC=3C=CC(=CC3)C4=CC=C(C=C4)C#N)C=CC5=C1OCO5,MACCS,0.77,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
110,AKT1,0.84,C1=CC=C2C(=C1)C=CC(N3C(=NN=C3C=4C=CN=CC4)S)=C2,MACCS,0.80,Cn1nnnc1Sc2ncnc3scc(c4cccc5ccccc45)c23
