,Knock-out Genes,Modal Similarity,The Most Similar Inhibitors,Metric,Scores,Searched Mols
1087,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1088,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1089,CTSK,0.84,FC1=CC2=C(N(C[C@@H](NC(=O)[C@@H](NC(=O)C3=CC(OC)=CC=C3)CCC4CCCCC4)[C@H](O)C)CC2)C=C1,MACCS,0.73,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1090,CTSK,0.78,C1(=NN(C=2C(Cl)=CC=CC2)C=N1)C(N[C@H](C(=O)NCCNC3=CC=C(C=C3)OC)CC(C)C)=O,MACCS,0.75,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C1=O
1091,CTSK,0.79,N1(S(=O)(=O)C)CC(NC([C@@H](N[C@H](C(F)(F)F)C2=CC=C(C=C2)C3=CC=C(C=C3)S(C)(=O)=O)CC(F)(C)C)=O)C(C1)=O,MACCS,0.73,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1092,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1093,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1094,CTSK,1.00,N=1C=2N(C(=CC2C=NC1C#N)CC3=CC=C(C=C3)Cl)CCCC(C)(C)C,MACCS,0.64,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
1095,CTSK,0.84,FC1=CC2=C(N(C[C@@H](NC(=O)[C@@H](NC(=O)C3=CC(OC)=CC=C3)CCC4CCCCC4)[C@H](O)C)CC2)C=C1,MACCS,0.73,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1096,CTSK,0.84,FC1=CC2=C(N(C[C@@H](NC(=O)[C@@H](NC(=O)C3=CC(OC)=CC=C3)CCC4CCCCC4)[C@H](O)C)CC2)C=C1,MACCS,0.73,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1097,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1098,CTSK,0.85,N(S(CC=1C=CC=CC1)(=O)=O)C2=CC=C(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)C=C2,MACCS,0.76,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1099,CTSK,0.85,S(C[C@H]1[C@@H](CCCC1)C(=O)NCC#N)C=2OC(=NN2)C=3C=CN=CC3,MACCS,0.58,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1100,CTSK,0.83,C(N[C@H](C(=O)NCCNC1=CC=C(C=C1)C)CC(C)C)(=O)OCC=2C=CC=CC2,Morgan,0.26,Cc1noc(C)c1C(c2ccccc2)S(=O)(=O)c3ccc(C)cc3
1101,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1102,CTSK,0.78,O(C(CC(C)C)C(=O)NCCNC=1C=CC(OC)=CC1)C=2C(C3=CC=CC=C3)=CC=CC2,Morgan,0.24,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C1=O
1103,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1104,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1105,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1106,CTSK,0.85,C=1C(C[C@H](NC(=O)C2=C3C(=CC=C2)C=CC=C3)C(=O)NCC#N)=CC=CC1Cl,Morgan,0.24,Fc1ccc(cc1)C(=O)OCc1ccc(CSc2nnc(o2)-c2cccc3ccccc23)cc1
1107,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1108,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1109,CTSK,0.85,N1(C#N)CC(C1)CNC(=O)C2CCCCC2,Morgan,0.27,CCS(=O)(=O)NCC[C@@H]1CC[C@@H](NC(=O)C2CCCCC2)[C@H](CO)O1
1110,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1111,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1112,CTSK,0.79,N(S(C1=CC=CS1)(=O)=O)C=2C=CC(C(=O)N[C@H](C(N[C@@H]3C(CO[C@H]3CC)=O)=O)CC4(CCCC4)C)=CC2,Morgan,0.24,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)c4cccs4)cccc3C1=O
1113,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
1114,CTSK,0.00,N(CC=1NN=NN1)C2=NC(=NC(=C2N)NCC(C)C)C#N,Morgan,0.10,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
1115,CTSK,0.84,O=C(N1CCN(CC1)C2=CC(OC)=C(OC)C=C2)[C@H]3[C@@H](CCCC3)C(=O)NCC#N,Morgan,0.17,COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1
