Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
AKT1,Cosine Search,0.53,BrC=1C(O)=C(C=2C=C(C/C(=N/O)/C(=O)NCCC3=CC(Br)=C(O)C=C3)C=C(Br)C2O)C=C(C/C(=N/O)/C(=O)NCCC4=CC(Br)=C(O)C=C4)C1,C[C@H](NC[C@H](O)CP(O)(=O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1
AKT1,Cosine Search,0.61,O=C(NC1=C2C(NC=C2)=NC=C1)C3CCC(CC3)C(N)C,CNC(=O)CCc1cc2ccccc2[nH]1
AKT1,Cosine Search,0.66,C=1(C=C(C=2C(C=C(OC2C1C3C(CN(CC3)C)O)C=4C=CC=CC4Cl)=O)O)O,CN1CCc2cc3OCOc3cc2C(=O)Cc4ccc5OCOc5c4C1
AKT1,Cosine Search,0.86,C=1(C(NS(C=2C=CC(F)=CC2)(=O)=O)=CC(=CN1)C=3C=CC=4N(C3)C=C(N4)NC(C)=O)Cl,CC1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O
AKT1,Cosine Search,0.49,[C@@H]1(OC(=O)C=2C=3[C@]1(C=4C(C(C3OC2)=O)[C@H]5[C@@](CC4OC(=O)C)(C)C(CC5)=O)C)COC,CCOC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1
AKT1,Cosine Search,0.76,FC=1C=C([C@H](C(=O)N2CCN(C=3N=CN=C4C3[C@@H](C[C@H]4O)C)CC2)CNC(CO)(C)C)C=CC1C(F)(F)F,CN(C)C(=O)[C@@H]1[C@@H](CO)[C@@H]2Cn3c(ccc(-c4ccccc4)c3=O)[C@@H]2N1CCC(F)(F)F
AKT1,Cosine Search,0.89,N=1NC=C(C1C2=CC=CC=C2)C=3C=CN=CC3,c1[nH]nc(c1-c1ccnc2ccccc12)-c1ccccn1
AKT1,Cosine Search,0.78,C12(CN(CC(CN(CCOC)S(C=3C(=NOC3C)C)(=O)=O)O)CCC1)OC=4C=CC(O)=CC4C(C2)=O,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)OCc2ccccc2-c3ccccc3C1=O
AKT1,Cosine Search,0.81,O=C1NC=2C(NC=3C1=CC=C(C3)C=4C=C(OC)C(OCC(O)CO)=CC4)=CC=C(C2)CCOC5=CC=C(N6CCOCC6)C=C5,COc1ccccc1C(=O)Nc1ccc2OC[C@H]3O[C@@H](CC(=O)NCCc4ccncc4)CC[C@H]3N(C)C(=O)c2c1
AKT1,Cosine Search,0.71,C=1C=CC2=C(C1)/C(/C(N2)=O)=C/C=3C=NNC3C4=C(C=CC=C4)N(=O)=O,CC1=NN(C(=O)C1=Cc1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
