Knock-out Genes,Method Names,MACCS Scores,The Most Similar Inhibitors,Result Mols
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.67,N(C(=O)NCCCOC)C1=CC2=C(N=CN=C2C=C1O[C@@H]3COCC3)NC=4C=C(C(=CC4)F)Cl,C[C@H](NC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1)c5ccccc5
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,N(C(=O)NCCCOC)C1=CC2=C(N=CN=C2C=C1O[C@@H]3COCC3)NC=4C=C(C(=CC4)F)Cl,C[C@H](NC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1)c5ccccc5
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,N(C(=O)NCCCOC)C1=CC2=C(N=CN=C2C=C1O[C@@H]3COCC3)NC=4C=C(C(=CC4)F)Cl,C[C@H](NC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23)[C@@H](CO)O1)c5ccccc5
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,O=S(=O)(C=1C(OCCCNC(CN2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)OC5=CC(=CC=C5)NC(C=C)=O)Cl)OC)=O)=NO[N+]1O)C6=CC=CC=C6,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,O=S(=O)(C=1C(OCCCNC(CN2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)OC5=CC(=CC=C5)NC(C=C)=O)Cl)OC)=O)=NO[N+]1O)C6=CC=CC=C6,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Cosine Search,0.6,N(C=1C=2C(NC=NC2NC3=CC(C=CC3)=C)=CC1)C(=O)C=C,CC=C1/[C@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2
EGFR,Cosine Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,O=S(=O)(C=1C(OCCCNC(CN2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)OC5=CC(=CC=C5)NC(C=C)=O)Cl)OC)=O)=NO[N+]1O)C6=CC=CC=C6,OC[C@@H]1O[C@H](CC(=O)NCCCN2CCOCC2)C=C[C@@H]1NS(=O)(=O)c1ccccc1F
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Cosine Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.71,C=1(C=2C=C(NC(C=C)=O)N=CC2N=CN1)NC3=CC(C)=CC=C3,Cc1ccc(cc1)C(=O)/N=c2/cccc[nH]2
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.67,C1(=C(C2=CC=CC=C2N1)CCC(=O)NC)SSC3=C(C=4C=CC=CC4N3)CCC(=O)NC,CNC(=O)CCc1cc2ccccc2[nH]1
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
EGFR,Euclidean Search,0.73,C1=C(N(C=2N(C1=O)N=CN2)CC(NNC(=S)NC=3C=CC=CC3)=O)C4=CC=CC=C4,Nn1c(=O)c(Cc2ccco2)n[nH]c1=S
